id,run_id,goal,summary,tags,score,created_at
1,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T16:28:05.550162
2,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T16:28:05.581409
4,,CLI app,ok,cli,,2025-10-25T16:28:05.769147
5,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T16:30:06.478737
6,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T16:30:06.492417
7,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T16:30:36.023117
8,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T16:30:36.030498
10,,CLI app,ok,cli,,2025-10-25T16:30:36.086106
11,241,ws logs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.367784
12,240,ws runs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.398338
13,239,halt after failure,Goal: . Status: failed. Result: bad.,"failed,fail",,2025-10-25T17:07:42.413798
14,238,export test,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.428795
15,237,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.447075
16,236,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.462067
17,235,steps+summary check,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.467042
18,234,build a minimal hello-world app,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.485764
19,233,build a tiny notes API with one POST/GET endpoint,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:42.502758
20,232,retry test goal,Goal: . Status: success. Result: ok.,"success,ok",,2025-10-25T17:07:42.518774
21,241,ws logs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:44.994735
22,240,ws runs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.007735
23,239,halt after failure,Goal: . Status: failed. Result: bad.,"failed,fail",,2025-10-25T17:07:45.016653
24,238,export test,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.025662
25,237,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.033172
26,236,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.040180
27,235,steps+summary check,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.047193
28,234,build a minimal hello-world app,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.055207
29,233,build a tiny notes API with one POST/GET endpoint,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:45.062202
30,232,retry test goal,Goal: . Status: success. Result: ok.,"success,ok",,2025-10-25T17:07:45.069733
31,241,ws logs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.770723
32,240,ws runs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.778638
33,239,halt after failure,Goal: . Status: failed. Result: bad.,"failed,fail",,2025-10-25T17:07:46.786634
34,238,export test,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.793632
35,237,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.799651
36,236,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.805651
37,235,steps+summary check,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.812653
38,234,build a minimal hello-world app,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.821188
39,233,build a tiny notes API with one POST/GET endpoint,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:46.828180
40,232,retry test goal,Goal: . Status: success. Result: ok.,"success,ok",,2025-10-25T17:07:46.834183
41,241,ws logs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.865151
42,240,ws runs,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.875675
43,239,halt after failure,Goal: . Status: failed. Result: bad.,"failed,fail",,2025-10-25T17:07:50.884183
44,238,export test,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.895349
45,237,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.905726
46,236,rerun smoke,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.915659
47,235,steps+summary check,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.924657
48,234,build a minimal hello-world app,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.933654
49,233,build a tiny notes API with one POST/GET endpoint,Goal: . Status: failed. Result: no-op.,"failed,success",,2025-10-25T17:07:50.941654
50,232,retry test goal,Goal: . Status: success. Result: ok.,"success,ok",,2025-10-25T17:07:50.948655
51,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T17:15:56.519648
52,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T17:15:56.550646
54,,CLI app,ok,cli,,2025-10-25T17:15:56.659659
55,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T17:17:53.155050
56,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T17:17:53.184014
58,,CLI app,ok,cli,,2025-10-25T17:17:53.315252
59,55501,Build web,ok,web,,2025-10-25T17:41:38.616119
60,,Another web,ok,web,,2025-10-25T17:41:38.625700
61,,Exportable,S,x,0.1,2025-10-25T17:41:59.581685
62,,Build FastAPI,web,"fastapi,web",,2025-10-25T17:41:59.704574
63,,Write CLI,cli,cli,,2025-10-25T17:41:59.719130
64,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T17:41:59.740680
65,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T17:41:59.751680
67,,CLI app,ok,cli,,2025-10-25T17:42:00.018379
68,55501,Build web,ok,web,,2025-10-25T17:44:01.314290
69,,Another web,ok,web,,2025-10-25T17:44:01.321289
70,,Exportable,S,x,0.1,2025-10-25T17:44:22.057952
71,,Build FastAPI,web,"fastapi,web",,2025-10-25T17:44:22.285698
72,,Write CLI,cli,cli,,2025-10-25T17:44:22.297711
73,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T17:44:22.347888
74,20202,FastAPI dashboard,dashboard ok,"fastapi,dashboard",0.7,2025-10-25T17:44:22.358912
76,,CLI app,ok,cli,,2025-10-25T17:44:22.626057
77,55501,Build web,ok,web,,2025-10-25T17:45:45.424987
78,,Another web,ok,web,,2025-10-25T17:45:45.432220
79,,Exportable,S,x,0.1,2025-10-25T17:46:06.425472
80,,Build FastAPI,web,"fastapi,web",,2025-10-25T17:46:06.644411
81,,Write CLI,cli,cli,,2025-10-25T17:46:06.657409
82,10101,Web app with FastAPI,web api ok,"fastapi,web",0.5,2025-10-25T17:46:06.703904
